0,29,none
1,20,0
2,30,none
3,5,2
4,20,1
5,24,2
6,16,none
7,6,0
8,26,7:3
9,24,0:6:1
10,25,9
11,28,7:8
12,19,10
13,5,none
14,28,none
15,20,4
16,27,7
17,24,0
18,11,10:11
19,14,none
20,15,none
21,21,7:6
22,29,5
23,25,none
24,16,16:0:17
25,8,21
26,14,11
27,22,5
28,20,23
29,18,15
30,15,none
31,27,8:23
32,28,11
33,26,30
34,19,none
35,29,none
36,8,2
37,21,2:31
38,20,none
39,18,none
40,23,35:38:8
41,20,3
42,8,none
43,11,none
44,17,26:39
45,16,11:5:30
46,25,43
47,11,10
48,29,none
49,24,none
50,11,15
51,15,none
52,21,21
53,23,22
54,13,42
55,11,24:45:15
56,24,41
57,5,none
58,8,14
59,8,31
60,7,31
61,20,14
62,26,28:26:27
63,28,37
64,14,20
65,26,none
66,30,13:44:0
67,13,none
68,9,52
69,29,none
70,9,50:0
71,5,25
72,16,none
73,30,63
74,10,67:26:70
75,16,none
76,20,none
77,22,13
78,17,20
79,11,47
80,16,40
81,15,65:59
82,18,66
83,6,14
84,7,29:23
85,8,53:46:9
86,16,none
87,10,79
88,12,none
89,27,0:15
90,18,44:86
91,25,7
92,24,none
93,15,71:60
94,9,none
95,20,74
96,9,43:19:32
97,9,59:18
98,10,46
99,8,69:19
100,14,none
101,21,65
102,22,30:15:98
103,16,none
104,27,37
105,17,none
106,12,97
107,8,1:32
108,22,none
109,5,18
110,22,none
111,22,none
112,6,none
113,19,54
114,6,none
115,24,74
116,7,71
117,18,66:26
118,14,none
119,22,62:58
120,24,61:6:58
121,6,114:51:102
122,28,107
123,14,83
124,22,67
125,27,35:93
126,26,83
127,20,3
128,18,none
129,17,32
130,10,50:104
131,29,none
132,13,79
