0,26,none
1,25,none
2,11,1:0
3,13,none
4,28,3:0
5,23,3
6,24,none
7,6,none
8,26,3
9,14,0
10,11,none
11,15,7
12,16,2
13,23,2
14,23,none
15,25,5:9:11
16,26,7
17,23,3
18,8,12:7
19,15,none
20,18,none
21,26,1:13:19
22,13,1
23,26,20
24,18,9:2:6
25,9,none
26,11,21:24
27,23,14:22:9
28,27,16:7
29,23,23:26:24
30,12,28:26
31,30,30
32,15,5
33,25,6
34,20,25:32
35,22,22:19
36,24,2
37,27,34
38,28,16
39,27,30:28
40,16,20
41,19,none
42,24,5
43,16,38:32:6
44,10,18
45,26,4:40
46,14,none
47,20,27:28
48,17,37
49,22,none
50,17,19
51,7,4:44
52,17,24
53,12,20:46:23
54,22,25:4
55,29,31
56,26,none
57,15,none
58,16,39
59,30,28
60,9,29:56:23
61,24,none
62,18,34
63,16,none
64,12,32:43
65,26,61
66,28,42
67,27,none
68,26,57:51
69,12,12
70,29,49:10
71,10,8
72,15,56
73,23,none
74,28,none
75,30,16
76,23,57:41:5
77,15,none
78,10,19
79,23,none
80,19,2
81,29,61:77
82,30,56:67:59
83,8,67
84,9,none
85,27,38:66
86,19,none
87,10,none
88,11,none
89,14,33
90,5,47
91,12,66
92,16,5:86
93,19,0
94,30,79
95,28,none
96,19,8
97,20,none
98,8,37
99,27,11
100,6,10
101,27,32:58
102,10,none
103,20,93:4
104,12,none
105,10,33
106,23,85:4
107,13,none
108,24,106
109,13,98:0
110,12,none
111,10,12
112,25,95
113,20,none
114,16,99:11
115,30,91
116,21,38
117,28,114
118,9,4
119,6,none
120,30,73:46
121,20,none
122,9,20:92
123,25,39:102
124,24,none
125,28,8:104
126,7,none
127,29,33
128,26,71
129,18,83
130,17,none
131,6,62
132,7,none
133,21,111
