0,27,none
1,15,0
2,22,1
3,16,none
4,23,3
5,21,none
6,16,2
7,14,1
8,30,0
9,15,8
10,23,9:1
11,5,1:5:4
12,22,6
13,7,none
14,9,5
15,13,0
16,15,none
17,23,10
18,16,none
19,11,none
20,11,3:8:16
21,26,2:4
22,21,none
23,24,3
24,21,2
25,22,24:13
26,21,0:14
27,23,none
28,25,13
29,20,21:7
30,28,none
31,5,none
32,6,16:9
33,5,none
34,20,0
35,28,3
36,25,33
37,8,14
38,22,22:16:13
39,10,none
40,9,33
41,21,39:8
42,27,17
43,6,30:24
44,17,38:16
45,14,3
46,17,none
47,16,14
48,9,20
49,11,none
50,25,34
51,10,18
52,18,28
53,23,8:30
54,25,none
55,29,39
56,10,53
57,6,none
58,22,none
59,26,none
60,23,none
61,5,18:58
62,29,33
63,19,60:49
64,5,15
65,6,30
66,23,18
67,6,none
68,17,13
69,28,21
70,10,28:40
71,8,18
72,22,23
73,18,59:52
74,17,53:6
75,25,none
76,10,38:71:34
77,24,7:11:42
78,15,75
79,6,none
80,16,7
81,19,38:34:59
82,8,8
83,14,none
84,27,21:6:30
85,8,13:50:2
86,17,73:85
87,29,81:79:67
88,5,9
89,8,83:21
90,6,60:43:70
91,22,5:7:22
92,8,none
93,25,26:53
94,12,38
95,18,11:45
96,8,63
97,11,57
98,24,90:16
99,16,none
100,11,55:63:59
101,6,none
102,19,24
103,19,46
104,5,22
105,20,25
106,15,none
107,27,13
108,19,none
109,6,none
110,22,83
111,10,46
