0,16,none
1,11,0
2,26,none
3,10,none
4,23,none
5,8,0:3:2
6,17,1
7,18,none
8,14,1:7:6
9,5,6:3
10,29,7:1:3
11,26,0:7
12,27,none
13,13,10:7:6
14,16,13:6
15,14,6
16,19,3
17,8,none
18,23,none
19,12,none
20,11,11:9
21,9,12
22,12,11
23,18,none
24,17,3
25,13,1
26,8,21:9
27,28,8
28,23,21
29,21,14:5
30,29,none
31,7,15
32,17,none
33,5,21
34,21,20:14
35,22,0
36,27,11
37,24,26:33
38,23,7:18
39,25,16
40,23,none
41,22,28
42,30,25:33:41
43,14,19
44,17,5:9:25
45,29,21:2
46,19,none
47,12,32
48,17,31:4
49,27,4
50,8,none
51,27,8
52,25,none
53,14,none
54,23,50:1:15
55,25,19:24
56,9,3:37:45
57,30,54:3
58,5,none
59,19,52
60,25,17
61,30,none
62,23,10
63,9,none
64,10,35
65,29,2
66,20,none
67,14,1
68,6,none
69,5,25:44
70,20,11:63
71,5,25
72,18,none
73,21,1
74,19,41:16
75,14,48:39:38
76,19,23:45
77,12,28
78,17,14:29
79,24,none
80,28,4
81,26,none
82,5,none
83,18,none
84,7,48
85,15,none
86,27,none
87,17,41
88,22,84:35
89,17,24
90,13,0
91,5,none
92,10,60:57
93,21,none
94,9,5
95,9,27
96,12,none
97,17,55
98,17,none
99,8,none
100,7,12:5
101,26,none
102,7,none
103,16,71:31
104,19,89
105,14,98:46
106,28,43:30
107,9,none
108,19,88
109,20,none
110,14,50
111,15,none
112,12,38
113,21,111:65:30
